mpirun -n 8 ./fft_test.o
dims = [2 2 2]
local_grid_size = [4 4 4]
ng = [2 2 2]
Optimal memory: 512 | Actual memory: 512 | Diff percent: 0
rank 0: total_sends = 16, total_recvs = 16, total_secondary = 0
rank 1: total_sends = 16, total_recvs = 16, total_secondary = 0
rank 2: total_sends = 16, total_recvs = 16, total_secondary = 0
rank 3: total_sends = 16, total_recvs = 16, total_secondary = 0
rank 4: total_sends = 16, total_recvs = 16, total_secondary = 0
rank 5: total_sends = 16, total_recvs = 16, total_secondary = 0
rank 6: total_sends = 16, total_recvs = 16, total_secondary = 0
rank 7: total_sends = 16, total_recvs = 16, total_secondary = 0
rank 0: total_sends = 64, total_recvs = 64, total_secondary = 0
rank 1: total_sends = 64, total_recvs = 64, total_secondary = 0
rank 2: total_sends = 64, total_recvs = 64, total_secondary = 0
rank 3: total_sends = 64, total_recvs = 64, total_secondary = 0
rank 4: total_sends = 64, total_recvs = 64, total_secondary = 0
rank 5: total_sends = 64, total_recvs = 64, total_secondary = 0
rank 6: total_sends = 64, total_recvs = 64, total_secondary = 0
rank 7: total_sends = 64, total_recvs = 64, total_secondary = 0
rank 0: buff1[0] = [0,0,0]
rank 0: buff1[1] = [0,1,0]
rank 0: buff1[2] = [0,2,0]
rank 0: buff1[3] = [0,3,0]
rank 0: buff1[4] = [0,4,0]
rank 0: buff1[5] = [0,5,0]
rank 0: buff1[6] = [0,6,0]
rank 0: buff1[7] = [0,7,0]
rank 0: buff1[8] = [0,0,1]
rank 0: buff1[9] = [0,1,1]
rank 0: buff1[10] = [0,2,1]
rank 0: buff1[11] = [0,3,1]
rank 0: buff1[12] = [0,4,1]
rank 0: buff1[13] = [0,5,1]
rank 0: buff1[14] = [0,6,1]
rank 0: buff1[15] = [0,7,1]
rank 0: buff1[16] = [0,0,2]
rank 0: buff1[17] = [0,1,2]
rank 0: buff1[18] = [0,2,2]
rank 0: buff1[19] = [0,3,2]
rank 0: buff1[20] = [0,4,2]
rank 0: buff1[21] = [0,5,2]
rank 0: buff1[22] = [0,6,2]
rank 0: buff1[23] = [0,7,2]
rank 0: buff1[24] = [0,0,3]
rank 0: buff1[25] = [0,1,3]
rank 0: buff1[26] = [0,2,3]
rank 0: buff1[27] = [0,3,3]
rank 0: buff1[28] = [0,4,3]
rank 0: buff1[29] = [0,5,3]
rank 0: buff1[30] = [0,6,3]
rank 0: buff1[31] = [0,7,3]
rank 0: buff1[32] = [0,0,4]
rank 0: buff1[33] = [0,1,4]
rank 0: buff1[34] = [0,2,4]
rank 0: buff1[35] = [0,3,4]
rank 0: buff1[36] = [0,4,4]
rank 0: buff1[37] = [0,5,4]
rank 0: buff1[38] = [0,6,4]
rank 0: buff1[39] = [0,7,4]
rank 0: buff1[40] = [0,0,5]
rank 0: buff1[41] = [0,1,5]
rank 0: buff1[42] = [0,2,5]
rank 0: buff1[43] = [0,3,5]
rank 0: buff1[44] = [0,4,5]
rank 0: buff1[45] = [0,5,5]
rank 0: buff1[46] = [0,6,5]
rank 0: buff1[47] = [0,7,5]
rank 0: buff1[48] = [0,0,6]
rank 0: buff1[49] = [0,1,6]
rank 0: buff1[50] = [0,2,6]
rank 0: buff1[51] = [0,3,6]
rank 0: buff1[52] = [0,4,6]
rank 0: buff1[53] = [0,5,6]
rank 0: buff1[54] = [0,6,6]
rank 0: buff1[55] = [0,7,6]
rank 0: buff1[56] = [0,0,7]
rank 0: buff1[57] = [0,1,7]
rank 0: buff1[58] = [0,2,7]
rank 0: buff1[59] = [0,3,7]
rank 0: buff1[60] = [0,4,7]
rank 0: buff1[61] = [0,5,7]
rank 0: buff1[62] = [0,6,7]
rank 0: buff1[63] = [0,7,7]
